INFO 2023-07-12 19:06:43 (6821) 	 /tmp/ipykernel_27523/55919344.py F<module> L11 - Added Visva-Bharati University successfuly
INFO 2023-07-12 19:06:44 (7515) 	 /tmp/ipykernel_27523/1230989764.py F<module> L3 - Scraped State Universities successfully.
INFO 2023-07-12 19:06:45 (8874) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added A.P. University of    Law successfuly
INFO 2023-07-12 19:06:45 (8875) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Acharya N. G. Ranga    Agricultural University successfuly
INFO 2023-07-12 19:06:45 (8876) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Acharya Nagarjuna    University successfuly
INFO 2023-07-12 19:06:45 (8877) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Adikavi Nannaya    University successfuly
INFO 2023-07-12 19:06:45 (8879) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Andhra Pradesh Open    University successfuly
INFO 2023-07-12 19:06:45 (8880) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Andhra University successfuly
INFO 2023-07-12 19:06:45 (8888) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Dr. B.R. Ambedkar    University, Srikakulam successfuly
INFO 2023-07-12 19:06:45 (8888) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Dr. Nandamuri Taraka    Rama Rao University of Health Sciences, Andhra Pradesh successfuly
INFO 2023-07-12 19:06:45 (8888) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Dravidian University successfuly
INFO 2023-07-12 19:06:45 (8889) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Jawaharlal    Nehru Architecture and Fine Arts University successfuly
INFO 2023-07-12 19:06:45 (8889) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Jawaharlal    Nehru Technological University, Anantapur successfuly
