INFO 2023-07-12 19:58:56 (159667) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added golaghat to assam successfuly
INFO 2023-07-12 19:58:56 (159667) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added hailakandi to assam successfuly
INFO 2023-07-12 19:58:56 (159668) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added jorhat to assam successfuly
INFO 2023-07-12 19:58:56 (159668) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added kamrup to assam successfuly
INFO 2023-07-12 19:58:56 (159669) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added kamrup metropolitan to assam successfuly
INFO 2023-07-12 19:58:56 (159669) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added karbi anglong to assam successfuly
INFO 2023-07-12 19:58:56 (159669) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added karimganj to assam successfuly
INFO 2023-07-12 19:58:56 (159669) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added kokrajhar to assam successfuly
INFO 2023-07-12 19:58:56 (159670) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added lakhimpur to assam successfuly
INFO 2023-07-12 19:58:56 (159670) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added morigaon to assam successfuly
INFO 2023-07-12 19:58:56 (159670) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added nagaon to assam successfuly
INFO 2023-07-12 19:58:56 (159671) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added nalbari to assam successfuly
INFO 2023-07-12 19:58:56 (159672) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added sivasagar to assam successfuly
INFO 2023-07-12 19:58:56 (159672) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added sonitpur to assam successfuly
INFO 2023-07-12 19:58:56 (159672) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added tinsukia to assam successfuly
INFO 2023-07-12 19:58:56 (159673) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added udalguri to assam successfuly
INFO 2023-07-12 19:58:56 (159673) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added bishwanath[8] to assam successfuly
INFO 2023-07-12 19:58:56 (159674) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added charaideo[8] to assam successfuly
INFO 2023-07-12 19:58:56 (159674) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added hojai[8] to assam successfuly
INFO 2023-07-12 19:58:56 (159674) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added south salmara-mankachar[8] to assam successfuly
INFO 2023-07-12 19:58:56 (159675) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added west karbi anglong[8] to assam successfuly
INFO 2023-07-12 19:58:56 (159675) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added araria to bihar successfuly
INFO 2023-07-12 19:58:56 (159676) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added arwal to bihar successfuly
INFO 2023-07-12 19:58:56 (159676) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added aurangabad to bihar successfuly
INFO 2023-07-12 19:58:56 (159676) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added banka to bihar successfuly
INFO 2023-07-12 19:58:56 (159677) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added begusarai to bihar successfuly
INFO 2023-07-12 19:58:56 (159677) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added bhagalpur to bihar successfuly
INFO 2023-07-12 19:58:56 (159678) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added bhojpur to bihar successfuly
INFO 2023-07-12 19:58:56 (159678) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added buxar to bihar successfuly
INFO 2023-07-12 19:58:56 (159679) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added darbhanga to bihar successfuly
INFO 2023-07-12 19:58:56 (159679) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added east champaran to bihar successfuly
INFO 2023-07-12 19:58:56 (159680) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added gaya to bihar successfuly
INFO 2023-07-12 19:58:56 (159680) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added gopalganj to bihar successfuly
INFO 2023-07-12 19:58:56 (159681) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added jamui to bihar successfuly
INFO 2023-07-12 19:58:56 (159681) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added jehanabad to bihar successfuly
INFO 2023-07-12 19:58:56 (159681) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added kaimur to bihar successfuly
INFO 2023-07-12 19:58:56 (159682) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added katihar to bihar successfuly
INFO 2023-07-12 19:58:56 (159682) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added khagaria to bihar successfuly
INFO 2023-07-12 19:58:56 (159682) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added kishanganj to bihar successfuly
INFO 2023-07-12 19:58:56 (159683) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added lakhisarai to bihar successfuly
INFO 2023-07-12 19:58:56 (159683) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added madhepura to bihar successfuly
INFO 2023-07-12 19:58:56 (159683) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added madhubani to bihar successfuly
INFO 2023-07-12 19:58:56 (159684) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added munger to bihar successfuly
INFO 2023-07-12 19:58:56 (159684) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added muzaffarpur to bihar successfuly
INFO 2023-07-12 19:58:56 (159685) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added nalanda to bihar successfuly
INFO 2023-07-12 19:58:56 (159685) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added nawada to bihar successfuly
INFO 2023-07-12 19:58:56 (159685) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added patna to bihar successfuly
INFO 2023-07-12 19:58:56 (159686) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added purnia to bihar successfuly
INFO 2023-07-12 19:58:56 (159686) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added rohtas to bihar successfuly
INFO 2023-07-12 19:58:56 (159686) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added saharsa to bihar successfuly
INFO 2023-07-12 19:58:56 (159687) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added samastipur to bihar successfuly
INFO 2023-07-12 19:58:56 (159687) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added saran to bihar successfuly
INFO 2023-07-12 19:58:56 (159688) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added sheikhpura to bihar successfuly
INFO 2023-07-12 19:58:56 (159688) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added sheohar to bihar successfuly
INFO 2023-07-12 19:58:56 (159688) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added sitamarhi to bihar successfuly
INFO 2023-07-12 19:58:56 (159689) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added siwan to bihar successfuly
INFO 2023-07-12 19:58:56 (159689) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added supaul to bihar successfuly
INFO 2023-07-12 19:58:56 (159689) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added vaishali to bihar successfuly
INFO 2023-07-12 19:58:56 (159690) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added west champaran to bihar successfuly
INFO 2023-07-12 19:58:56 (159690) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added balod to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159690) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added baloda bazar to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159691) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added balrampur to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159691) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added bastar to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159691) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added bemetara to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159692) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added bijapur to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159692) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added bilaspur to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159692) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added dantewada to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159693) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added dhamtari to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159693) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added durg to chhattisgarh successfuly
